IP Address,Mac address,Software Identification,Software Version,Open Ports,Device Class,Device Identification,Communication Ranges and Protocols
192.168.100.70,000502ignore,64-Bit Journaling File System,v1,443-677,Laptop,Lenovo,tcp
192.168.100.62,000502ignore,Unix,v5,4000-5676,Desktop,Lenovo thinkpad,http
192.168.100.67,000A27ignore,NeXTSTEP,v1,80-484,Mobile,,http
192.168.100.56,00012Aignore,64-Bit Journaling File System,v3,8972-32000,Desktop,Apple,generic
23.41.47.209,000393ignore,The Shell Terminal,v4,8972-32000,Coffee Machine,Apple,udp
34.194.245.63,000393ignore,MS-DOS,v2,443-677,Camera,Lenovo thinkpad,http
52.109.2.129,000393ignore,64-Bit Journaling File System,v1,4000-5676,Camera,MBP,http
52.54.203.230,000393ignore,NeXTSTEP,v3,22-500,Camera,Lenovo,generic
192.168.100.65,00012Aignore,Unix,v1,22-500,Laptop,Apple,generic
192.168.100.230,000A27ignore,Time Machine,v1,443-677,Laptop,MBP,tcp
17.134.126.34,000502ignore,64-Bit Journaling File System,v4,27000-60000,Camera,Apple,tcp
192.168.100.187,000A27ignore,Unix,v2,27000-60000,Coffee Machine,Lenovo,udp
52.109.6.0,00012Aignore,Time Machine,v3,4000-5676,Camera,,http
40.97.126.178,000A27ignore,Time Machine,v4,80-484,Coffee Machine,Lenovo,generic
172.217.9.194,000393ignore,Ubuntu,v2,8972-32000,Laptop,Lenovo thinkpad,udp
192.168.100.222,000502ignore,NeXTSTEP,v2,22-500,Mobile,MBP,generic
192.168.100.206,000A27ignore,Time Machine,v5,443-677,Camera,Lenovo,http
104.25.219.21,00012Aignore,Ubuntu,v5,8080-9000,Mobile,Lenovo thinkpad,udp
172.217.9.211,00012Aignore,MS-DOS,v3,80-484,Laptop,Apple,http
13.107.3.128,00012Aignore,Mac OS X,v2,443-677,Camera,,tcp
172.217.3.206,000393ignore,64-Bit Journaling File System,v4,80-484,Mobile,Lenovo,generic
40.112.143.140,000502ignore,Ubuntu,v3,22-500,Coffee Machine,,tcp
224.0.0.22,000A27ignore,Simplified Linux Setup,v4,8080-9000,Desktop,Lenovo,tcp
65.52.193.136,000A27ignore,MS-DOS,v3,8972-32000,Laptop,Lenovo thinkpad,udp
23.38.185.173,000A27ignore,Ubuntu,v5,4000-5676,Mobile,MBP,http
52.109.76.30,000502ignore,Unix,v5,27000-60000,Desktop,Lenovo,tcp
52.109.2.124,000A27ignore,NeXTSTEP,v4,8972-32000,Camera,Lenovo thinkpad,udp
52.109.12.23,00012Aignore,BeOS,v2,443-677,Laptop,Apple,http
192.168.100.55,000502ignore,Ubuntu,v4,27000-60000,Desktop,Lenovo,http
239.255.255.250,000502ignore,Mac OS X,v3,4000-5676,Desktop,Apple,udp
52.109.6.5,000393ignore,Unix,v4,80-484,Coffee Machine,MBP,tcp
192.168.100.236,000A27ignore,Unix,v5,4000-5676,Desktop,Lenovo,udp
216.58.193.195,000502ignore,64-Bit Journaling File System,v4,8972-32000,Mobile,,http
224.0.0.2,000A27ignore,The Shell Terminal,v1,80-484,Desktop,MBP,udp
172.217.3.196,00012Aignore,IRIX SGI Dogfight,v3,80-484,Mobile,MBP,generic
192.168.100.193,00012Aignore,64-Bit Journaling File System,v3,27000-60000,Camera,MBP,udp
172.217.3.182,00012Aignore,Unix,v4,22-500,Desktop,Lenovo,tcp
34.231.91.15,00012Aignore,Unix,v1,4000-5676,Mobile,Lenovo,generic
172.217.3.202,000A27ignore,MS-DOS,v1,8080-9000,Coffee Machine,Apple,http
52.10.116.64,000393ignore,The Shell Terminal,v3,443-677,Laptop,Lenovo thinkpad,generic
17.142.171.14,000502ignore,Simplified Linux Setup,v2,4000-5676,Laptop,,generic
34.206.243.251,000A27ignore,64-Bit Journaling File System,v5,27000-60000,Laptop,Lenovo,udp
52.109.124.22,000393ignore,The Shell Terminal,v4,8972-32000,Mobile,Apple,tcp
224.0.0.252,000393ignore,MS-DOS,v1,80-484,Coffee Machine,,generic
23.53.112.132,000502ignore,64-Bit Journaling File System,v5,8972-32000,Camera,Apple,udp
34.204.134.114,00012Aignore,The Shell Terminal,v5,443-677,Mobile,Lenovo thinkpad,generic
192.168.100.229,00012Aignore,NeXTSTEP,v2,22-500,Desktop,Lenovo,generic
52.109.120.22,00012Aignore,Unix,v2,22-500,Laptop,Lenovo thinkpad,generic
52.109.124.20,000A27ignore,Time Machine,v3,8080-9000,Desktop,,tcp
172.217.15.99,00012Aignore,Time Machine,v2,4000-5676,Mobile,MBP,http
172.217.8.3,000A27ignore,Unix,v4,27000-60000,Camera,Apple,http
40.78.98.202,000393ignore,BeOS,v3,80-484,Laptop,Apple,generic
172.217.3.195,000A27ignore,IRIX SGI Dogfight,v3,8080-9000,Camera,,tcp
23.100.72.33,00012Aignore,MS-DOS,v2,80-484,Mobile,MBP,udp
192.168.100.166,000393ignore,The Shell Terminal,v5,8080-9000,Desktop,Apple,tcp
