No.,Time,Source,Destination,Protocol,Length,Info,Class
1,0.667925,192.168.0.20,224.0.0.251,MDNS,415,"Standard query response 0x0000 A, cache flush 192.168.0.20 PTR, cache flush DCS-935L-B0C554255B0E.local SRV, cache flush 0 0 80 DCS-935L-B0C554255B0E.local TXT, cache flush PTR _dhnap._tcp.local PTR D-Link HNAP Service._dhnap._tcp.local",D-LinkCam
2,0.667951,192.168.0.20,224.0.0.251,MDNS,415,"Standard query response 0x0000 A, cache flush 192.168.0.20 PTR, cache flush DCS-935L-B0C554255B0E.local SRV, cache flush 0 0 80 DCS-935L-B0C554255B0E.local TXT, cache flush PTR _dhnap._tcp.local PTR D-Link HNAP Service._dhnap._tcp.local",D-LinkCam
3,0.737718,192.168.0.20,224.0.0.251,MDNS,221,"Standard query response 0x0000 A, cache flush 192.168.0.20 SRV, cache flush 0 0 80 dcs-935l.local TXT, cache flush PTR _http._tcp.local PTR D-Link DCS-935L Configuration Utility (2)._http._tcp.local",D-LinkCam
4,0.737742,192.168.0.20,224.0.0.251,MDNS,221,"Standard query response 0x0000 A, cache flush 192.168.0.20 SRV, cache flush 0 0 80 dcs-935l.local TXT, cache flush PTR _http._tcp.local PTR D-Link DCS-935L Configuration Utility (2)._http._tcp.local",D-LinkCam
5,0.867745,192.168.0.20,224.0.0.251,MDNS,221,"Standard query response 0x0000 A, cache flush 192.168.0.20 SRV, cache flush 0 0 80 dcs-935l5b0e.local TXT, cache flush PTR _http._tcp.local PTR D-Link DCS-935L Configuration Utility._http._tcp.local",D-LinkCam
6,0.867767,192.168.0.20,224.0.0.251,MDNS,221,"Standard query response 0x0000 A, cache flush 192.168.0.20 SRV, cache flush 0 0 80 dcs-935l5b0e.local TXT, cache flush PTR _http._tcp.local PTR D-Link DCS-935L Configuration Utility._http._tcp.local",D-LinkCam
7,2.717562,192.168.0.20,224.0.0.22,IGMPv3,54,"Membership Report / Join group 239.255.255.250 for any sources",D-LinkCam
8,2.717584,192.168.0.20,224.0.0.22,IGMPv3,54,"Membership Report / Join group 239.255.255.250 for any sources",D-LinkCam
9,3.880093,10.10.10.37,224.0.0.22,IGMPv3,54,"Membership Report / Leave group 224.0.0.251",D-LinkCam
10,3.880116,10.10.10.37,224.0.0.22,IGMPv3,54,"Membership Report / Leave group 224.0.0.251",D-LinkCam
11,3.920235,10.10.10.37,224.0.0.22,IGMPv3,62,"Membership Report / Leave group 224.0.0.252 / Leave group 224.0.0.251",D-LinkCam
12,3.920258,10.10.10.37,224.0.0.22,IGMPv3,62,"Membership Report / Leave group 224.0.0.252 / Leave group 224.0.0.251",D-LinkCam
13,3.960150,10.10.10.37,224.0.0.22,IGMPv3,62,"Membership Report / Leave group 239.255.255.250 / Leave group 224.0.0.252",D-LinkCam
14,3.960172,10.10.10.37,224.0.0.22,IGMPv3,62,"Membership Report / Leave group 239.255.255.250 / Leave group 224.0.0.252",D-LinkCam
15,4.196241,10.10.10.37,192.168.0.1,DNS,74,"Standard query 0x0003 A ntp1.dlink.com",D-LinkCam
16,4.197007,130.83.253.186,10.10.10.37,ICMP,70,"Destination unreachable (Host unreachable)",D-LinkCam
17,6.267698,10.10.10.37,224.0.0.22,IGMPv3,62,"Membership Report / Leave group 239.255.255.250 / Join group 224.0.0.251 for any sources",D-LinkCam
18,6.267721,10.10.10.37,224.0.0.22,IGMPv3,62,"Membership Report / Leave group 239.255.255.250 / Join group 224.0.0.251 for any sources",D-LinkCam
19,6.507982,10.10.10.37,224.0.0.251,MDNS,161,"Standard query 0x0000 ANY DCS-935L-B0C554255B0E.local, 'QU' question ANY D-Link HNAP Service._dhnap._tcp.local, 'QU' question A 10.10.10.37 SRV 0 0 80 DCS-935L-B0C554255B0E.local",D-LinkCam
20,6.508006,10.10.10.37,224.0.0.251,MDNS,161,"Standard query 0x0000 ANY DCS-935L-B0C554255B0E.local, 'QU' question ANY D-Link HNAP Service._dhnap._tcp.local, 'QU' question A 10.10.10.37 SRV 0 0 80 DCS-935L-B0C554255B0E.local",D-LinkCam
