No.,Time,Source,Destination,Protocol,Length,Info,Class
1,0.667925,192.168.0.20,224.0.0.251,6,415,"Standard query response 0x0000 A, cache flush 192.168.0.20 PTR, cache flush DCS-935L-B0C554255B0E.local SRV, cache flush 0 0 80 DCS-935L-B0C554255B0E.local TXT, cache flush PTR _dhnap._tcp.local PTR D-Link HNAP Service._dhnap._tcp.local",0
2,0.667951,192.168.0.20,224.0.0.251,6,415,"Standard query response 0x0000 A, cache flush 192.168.0.20 PTR, cache flush DCS-935L-B0C554255B0E.local SRV, cache flush 0 0 80 DCS-935L-B0C554255B0E.local TXT, cache flush PTR _dhnap._tcp.local PTR D-Link HNAP Service._dhnap._tcp.local",0
3,0.737718,192.168.0.20,224.0.0.251,6,221,"Standard query response 0x0000 A, cache flush 192.168.0.20 SRV, cache flush 0 0 80 dcs-935l.local TXT, cache flush PTR _http._tcp.local PTR D-Link DCS-935L Configuration Utility (2)._http._tcp.local",0
4,0.737742,192.168.0.20,224.0.0.251,6,221,"Standard query response 0x0000 A, cache flush 192.168.0.20 SRV, cache flush 0 0 80 dcs-935l.local TXT, cache flush PTR _http._tcp.local PTR D-Link DCS-935L Configuration Utility (2)._http._tcp.local",0
5,0.867745,192.168.0.20,224.0.0.251,6,221,"Standard query response 0x0000 A, cache flush 192.168.0.20 SRV, cache flush 0 0 80 dcs-935l5b0e.local TXT, cache flush PTR _http._tcp.local PTR D-Link DCS-935L Configuration Utility._http._tcp.local",0
6,0.867767,192.168.0.20,224.0.0.251,6,221,"Standard query response 0x0000 A, cache flush 192.168.0.20 SRV, cache flush 0 0 80 dcs-935l5b0e.local TXT, cache flush PTR _http._tcp.local PTR D-Link DCS-935L Configuration Utility._http._tcp.local",0
7,2.717562,192.168.0.20,224.0.0.22,9,54,"Membership Report / Join group 239.255.255.250 for any sources",0
8,2.717584,192.168.0.20,224.0.0.22,9,54,"Membership Report / Join group 239.255.255.250 for any sources",0
9,3.880093,10.10.10.37,224.0.0.22,9,54,"Membership Report / Leave group 224.0.0.251",0
10,3.880116,10.10.10.37,224.0.0.22,9,54,"Membership Report / Leave group 224.0.0.251",0
11,3.920235,10.10.10.37,224.0.0.22,9,62,"Membership Report / Leave group 224.0.0.252 / Leave group 224.0.0.251",0
12,3.920258,10.10.10.37,224.0.0.22,9,62,"Membership Report / Leave group 224.0.0.252 / Leave group 224.0.0.251",0
13,3.960150,10.10.10.37,224.0.0.22,9,62,"Membership Report / Leave group 239.255.255.250 / Leave group 224.0.0.252",0
14,3.960172,10.10.10.37,224.0.0.22,9,62,"Membership Report / Leave group 239.255.255.250 / Leave group 224.0.0.252",0
15,4.196241,10.10.10.37,192.168.0.1,-1,74,"Standard query 0x0003 A ntp1.dlink.com",0
16,4.197007,130.83.253.186,10.10.10.37,11,70,"Destination unreachable (Host unreachable)",0
17,6.267698,10.10.10.37,224.0.0.22,9,62,"Membership Report / Leave group 239.255.255.250 / Join group 224.0.0.251 for any sources",0
18,6.267721,10.10.10.37,224.0.0.22,9,62,"Membership Report / Leave group 239.255.255.250 / Join group 224.0.0.251 for any sources",0
19,6.507982,10.10.10.37,224.0.0.251,6,161,"Standard query 0x0000 ANY DCS-935L-B0C554255B0E.local, 'QU' question ANY D-Link HNAP Service._dhnap._tcp.local, 'QU' question A 10.10.10.37 SRV 0 0 80 DCS-935L-B0C554255B0E.local",0
20,6.508006,10.10.10.37,224.0.0.251,6,161,"Standard query 0x0000 ANY DCS-935L-B0C554255B0E.local, 'QU' question ANY D-Link HNAP Service._dhnap._tcp.local, 'QU' question A 10.10.10.37 SRV 0 0 80 DCS-935L-B0C554255B0E.local",0
21,6.557840,10.10.10.37,224.0.0.251,6,165,"Standard query 0x0000 ANY dcs-935l.local, 'QM' question ANY D-Link DCS-935L Configuration Utility._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l.local",0
22,6.557864,10.10.10.37,224.0.0.251,6,165,"Standard query 0x0000 ANY dcs-935l.local, 'QM' question ANY D-Link DCS-935L Configuration Utility._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l.local",0
23,6.617973,10.10.10.37,224.0.0.251,6,169,"Standard query 0x0000 ANY dcs-935l5b0e.local, 'QM' question ANY D-Link DCS-935L Configuration Utility._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l5b0e.local",0
24,6.617996,10.10.10.37,224.0.0.251,6,169,"Standard query 0x0000 ANY dcs-935l5b0e.local, 'QM' question ANY D-Link DCS-935L Configuration Utility._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l5b0e.local",0
25,6.757810,10.10.10.37,224.0.0.251,6,161,"Standard query 0x0000 ANY DCS-935L-B0C554255B0E.local, 'QM' question ANY D-Link HNAP Service._dhnap._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 DCS-935L-B0C554255B0E.local",0
26,6.757834,10.10.10.37,224.0.0.251,6,161,"Standard query 0x0000 ANY DCS-935L-B0C554255B0E.local, 'QM' question ANY D-Link HNAP Service._dhnap._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 DCS-935L-B0C554255B0E.local",0
27,6.847956,10.10.10.37,224.0.0.251,6,169,"Standard query 0x0000 ANY dcs-935l.local, 'QM' question ANY D-Link DCS-935L Configuration Utility (2)._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l.local",0
28,6.847980,10.10.10.37,224.0.0.251,6,169,"Standard query 0x0000 ANY dcs-935l.local, 'QM' question ANY D-Link DCS-935L Configuration Utility (2)._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l.local",0
29,6.907921,10.10.10.37,224.0.0.251,6,169,"Standard query 0x0000 ANY dcs-935l5b0e.local, 'QM' question ANY D-Link DCS-935L Configuration Utility._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l5b0e.local",0
30,6.907945,10.10.10.37,224.0.0.251,6,169,"Standard query 0x0000 ANY dcs-935l5b0e.local, 'QM' question ANY D-Link DCS-935L Configuration Utility._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l5b0e.local",0
31,7.018033,10.10.10.37,224.0.0.251,6,161,"Standard query 0x0000 ANY DCS-935L-B0C554255B0E.local, 'QM' question ANY D-Link HNAP Service._dhnap._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 DCS-935L-B0C554255B0E.local",0
32,7.018056,10.10.10.37,224.0.0.251,6,161,"Standard query 0x0000 ANY DCS-935L-B0C554255B0E.local, 'QM' question ANY D-Link HNAP Service._dhnap._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 DCS-935L-B0C554255B0E.local",0
33,7.107830,10.10.10.37,224.0.0.251,6,169,"Standard query 0x0000 ANY dcs-935l.local, 'QM' question ANY D-Link DCS-935L Configuration Utility (2)._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l.local",0
34,7.107855,10.10.10.37,224.0.0.251,6,169,"Standard query 0x0000 ANY dcs-935l.local, 'QM' question ANY D-Link DCS-935L Configuration Utility (2)._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l.local",0
35,7.210038,10.10.10.37,224.0.0.251,6,169,"Standard query 0x0000 ANY dcs-935l5b0e.local, 'QM' question ANY D-Link DCS-935L Configuration Utility._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l5b0e.local",0
36,7.210062,10.10.10.37,224.0.0.251,6,169,"Standard query 0x0000 ANY dcs-935l5b0e.local, 'QM' question ANY D-Link DCS-935L Configuration Utility._http._tcp.local, 'QM' question A 10.10.10.37 SRV 0 0 80 dcs-935l5b0e.local",0
37,7.277969,10.10.10.37,224.0.0.251,6,411,"Standard query response 0x0000 A, cache flush 10.10.10.37 PTR, cache flush DCS-935L-B0C554255B0E.local SRV, cache flush 0 0 80 DCS-935L-B0C554255B0E.local TXT, cache flush PTR _dhnap._tcp.local PTR D-Link HNAP Service._dhnap._tcp.local",0
38,7.277994,10.10.10.37,224.0.0.251,6,411,"Standard query response 0x0000 A, cache flush 10.10.10.37 PTR, cache flush DCS-935L-B0C554255B0E.local SRV, cache flush 0 0 80 DCS-935L-B0C554255B0E.local TXT, cache flush PTR _dhnap._tcp.local PTR D-Link HNAP Service._dhnap._tcp.local",0
39,7.368695,10.10.10.37,224.0.0.251,6,147,"Standard query 0x0000 ANY D-Link DCS-935L Configuration Utility (2)._http._tcp.local, 'QM' question SRV 0 0 80 dcs-935l.local",0
40,7.368718,10.10.10.37,224.0.0.251,6,147,"Standard query 0x0000 ANY D-Link DCS-935L Configuration Utility (2)._http._tcp.local, 'QM' question SRV 0 0 80 dcs-935l.local",0
41,7.368961,10.10.10.37,224.0.0.251,6,84,"Standard query response 0x0000 A, cache flush 10.10.10.37",0
42,7.368983,10.10.10.37,224.0.0.251,6,84,"Standard query response 0x0000 A, cache flush 10.10.10.37",0
43,7.397965,10.10.10.37,224.0.0.22,9,62,"Membership Report / Join group 224.0.0.252 for any sources / Join group 224.0.0.251 for any sources",0
